mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.823718627293904,0.12730617109150635,2.4068424701690674,0.22756562533871005,True,,log2,1,10,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6511776177617762,0.6501650165016502,0.6516521021640476,0.6509982454758246,0.0006202078976991519,217
7.624365011850993,0.04089705845757176,2.6590801080067954,0.1103034641564766,True,,log2,1,10,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6517026702670267,0.6512901290129013,0.6521021640475565,0.6516983211091615,0.0003315261787124057,209
4.283377408981323,0.07665367292842591,2.213145097096761,0.05755462314817195,True,,log2,2,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6485523552355236,0.644014401440144,0.6476390503694258,0.6467352690150311,0.0019597400702922496,295
5.962698459625244,0.18805329942496857,2.256826400756836,0.47722474090339717,True,,log2,2,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6473147314731473,0.6438643864386439,0.6471514833289578,0.6461102004135829,0.0015894281564280209,301
8.260037501653036,0.22524707409944955,2.657220999399821,0.17130402807439232,True,,log2,2,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.648102310231023,0.6443144314431443,0.6476390503694258,0.646685264014531,0.0016870660402017673,297
4.3746804396311445,0.06006084558908736,2.384913365046183,0.013023641001172991,True,,log2,2,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6491149114911491,0.6455145514551455,0.6483891535086075,0.647672872151634,0.001554658018981196,281
5.826860666275024,0.1674262013805986,2.215342919031779,0.17765176412233855,True,,log2,2,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.650052505250525,0.6454770477047704,0.6487266999212392,0.6480854176255115,0.0019221750137731995,271
7.808408498764038,0.419653324177504,3.115363359451294,0.09785054711360265,True,,log2,2,5,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6493024302430243,0.6461896189618962,0.6482391328807711,0.6479103940285639,0.0012918850420199726,275
4.007014354070027,0.04666372265770528,2.6640001138051352,0.08210927626718031,True,,log2,2,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6553780378037803,0.6517026702670267,0.6536023703259198,0.6535610261322423,0.0015007472892571091,185
5.826946655909221,0.22670369425737644,2.3840739727020264,0.060524070500215264,True,,log2,2,10,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6547029702970297,0.6521527152715272,0.6538649064246334,0.6535735306643967,0.00106132780013696,183
7.871395428975423,0.07686244200771128,2.653081734975179,0.03435235599663969,True,,log2,2,10,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.6548529852985299,0.6525277527752775,0.6544649889359787,0.6539485756699287,0.0010170835979446133,177
3.7469154993693032,0.1398516991259791,2.3010785579681396,0.08562103456179784,True,,log2,4,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6584533453345335,0.6578532853285328,0.6568653189813599,0.6577239832148086,0.0006547244723564108,151
5.363438844680786,0.18519655808383173,2.328354994455973,0.21216086694826075,True,,log2,4,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6579657965796579,0.6574407440744074,0.657315380864869,0.6575739738396448,0.0002817478521302406,155
6.84704311688741,0.09210228890519565,2.7737284501393638,0.3624366349267204,True,,log2,4,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6579282928292829,0.658078307830783,0.6580279788470915,0.6580115265023858,6.233851085542598e-05,139
3.8617420196533203,0.1503820825837067,2.115471124649048,0.07723369141758321,True,,log2,4,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6584533453345335,0.6578532853285328,0.6568653189813599,0.6577239832148086,0.0006547244723564108,151
5.468318462371826,0.10452371909958214,1.7597060203552246,0.16594092990435666,True,,log2,4,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6579657965796579,0.6574407440744074,0.657315380864869,0.6575739738396448,0.0002817478521302406,155
